beta,sample,sim,high_cheese_mean,high_cheese_sd,low_cheese_mean,low_cheese_sd,p
0,40,1,0.82,0.2,0.8,0.2,0.815419343557658
0,40,2,0.74,0.19,0.81,0.15,0.22206407759611
0,40,3,0.82,0.18,0.78,0.18,0.51189416120384
0,40,4,0.81,0.2,0.72,0.15,0.153189766171005
0,40,5,0.77,0.23,0.78,0.21,0.933269654423245
0,40,6,0.76,0.19,0.79,0.18,0.591492049398476
0,40,7,0.79,0.21,0.78,0.17,0.815172779939559
0,40,8,0.75,0.18,0.78,0.18,0.652330764448565
0,40,9,0.73,0.22,0.79,0.21,0.350087593006823
0,40,10,0.86,0.21,0.78,0.19,0.247154857298269
0,40,11,0.83,0.16,0.76,0.21,0.22579386581435
0,40,12,0.86,0.15,0.77,0.2,0.103897598817987
0,40,13,0.82,0.21,0.87,0.18,0.428050789267953
0,40,14,0.79,0.28,0.87,0.22,0.340343116612543
0,40,15,0.75,0.2,0.76,0.18,0.870548333453475
0,40,16,0.81,0.2,0.77,0.2,0.548472141542645
0,40,17,0.79,0.18,0.78,0.16,0.864961116296133
0,40,18,0.83,0.16,0.8,0.21,0.546665034310897
0,40,19,0.81,0.23,0.83,0.23,0.75092137216702
0,40,20,0.82,0.19,0.77,0.19,0.388585599531075
0,40,21,0.8,0.16,0.79,0.19,0.798092025689683
0,40,22,0.84,0.2,0.78,0.22,0.358734036261243
0,40,23,0.77,0.2,0.79,0.21,0.813442738636707
0,40,24,0.82,0.2,0.81,0.2,0.852821598534818
0,40,25,0.84,0.16,0.73,0.17,0.0399712350853214
0,40,26,0.79,0.21,0.75,0.24,0.624875382092702
0,40,27,0.82,0.24,0.82,0.19,0.963084667669814
0,40,28,0.83,0.24,0.86,0.19,0.68567318038622
0,40,29,0.74,0.2,0.8,0.18,0.291365428551219
0,40,30,0.85,0.16,0.75,0.25,0.124948049550722
0,40,31,0.89,0.16,0.81,0.21,0.20014621587459
0,40,32,0.78,0.25,0.77,0.27,0.835403480593023
0,40,33,0.77,0.15,0.81,0.21,0.493943523555918
0,40,34,0.85,0.22,0.81,0.13,0.519689694694033
0,40,35,0.8,0.17,0.82,0.21,0.704806741245593
0,40,36,0.84,0.17,0.78,0.25,0.338032136378945
0,40,37,0.87,0.22,0.79,0.27,0.307976374074842
0,40,38,0.76,0.18,0.81,0.18,0.375774274962954
0,40,39,0.92,0.21,0.78,0.19,0.0433615336838204
0,40,40,0.85,0.23,0.79,0.18,0.370735224701483
0,40,41,0.74,0.24,0.79,0.19,0.492456710606919
0,40,42,0.79,0.2,0.78,0.18,0.94107147287652
0,40,43,0.8,0.23,0.8,0.24,0.962711792758053
0,40,44,0.83,0.17,0.8,0.14,0.577799439366093
0,40,45,0.88,0.17,0.82,0.21,0.343275885359747
0,40,46,0.65,0.28,0.8,0.19,0.082652159215653
0,40,47,0.74,0.19,0.76,0.23,0.738047734138961
0,40,48,0.84,0.18,0.7,0.17,0.0360257013793212
0,40,49,0.74,0.18,0.78,0.22,0.530907513571189
0,40,50,0.86,0.14,0.8,0.15,0.208746113325152
0,40,51,0.79,0.14,0.83,0.22,0.511442284494736
0,40,52,0.78,0.14,0.76,0.24,0.761349022440559
0,40,53,0.78,0.2,0.79,0.18,0.933750789858201
0,40,54,0.83,0.17,0.79,0.17,0.499753709370174
0,40,55,0.78,0.18,0.73,0.21,0.461473896864513
0,40,56,0.81,0.2,0.74,0.19,0.283223427907101
0,40,57,0.84,0.13,0.75,0.24,0.160883051829983
0,40,58,0.88,0.16,0.82,0.16,0.278159552407076
0,40,59,0.8,0.15,0.82,0.25,0.779804272601923
0,40,60,0.83,0.19,0.73,0.18,0.101546989645866
0,40,61,0.85,0.13,0.8,0.19,0.298122437920229
0,40,62,0.76,0.17,0.77,0.22,0.844405396024842
0,40,63,0.84,0.16,0.77,0.21,0.217824958213045
0,40,64,0.85,0.18,0.85,0.17,0.976131914155066
0,40,65,0.72,0.2,0.78,0.24,0.362993305506161
0,40,66,0.79,0.3,0.81,0.18,0.797076367111912
0,40,67,0.8,0.18,0.81,0.18,0.922933238949354
0,40,68,0.83,0.16,0.8,0.14,0.705390722555854
0,40,69,0.78,0.16,0.89,0.2,0.0706423282650324
0,40,70,0.82,0.2,0.77,0.21,0.428363021793647
0,40,71,0.77,0.23,0.8,0.2,0.656719130225481
0,40,72,0.74,0.21,0.83,0.21,0.243052964268384
0,40,73,0.74,0.22,0.78,0.19,0.687949665844846
0,40,74,0.89,0.23,0.86,0.18,0.639323416678421
0,40,75,0.79,0.17,0.87,0.15,0.140002025179296
0,40,76,0.73,0.19,0.78,0.21,0.496946487019598
0,40,77,0.78,0.14,0.8,0.2,0.767989498983695
0,40,78,0.78,0.2,0.81,0.28,0.683426912324071
0,40,79,0.81,0.21,0.74,0.2,0.300897497427199
0,40,80,0.77,0.18,0.81,0.22,0.55663856109633
